"开始","结束","Google Chrome","WeChat","Microsoft Word","Typora","Adobe Acrobat","Windows 资源管理器","Notepad++","Stata","Sublime Text","Microsoft Excel","PotPlayer","Stata","mintty","TIM","网易云音乐","Microsoft Edge","Microsoft PowerPoint","Stata","Windows Shell Experience Host","Windows 命令处理程序"
"2020/1/1","2020/1/31","31.70 h","29.27 h","26.68 h","4.06 h","7.67 h","7.81 h","0.02 h","0.00 h","2.08 h","1.95 h","0.73 h","6.05 h","0.31 h","1.44 h","1.69 h","0.00 h","0.20 h","5.15 h","0.58 h","0.06 h"
"2020/2/1","2020/2/29","53.78 h","40.60 h","26.64 h","34.77 h","11.35 h","13.04 h","4.34 h","12.49 h","15.40 h","11.21 h","10.11 h","3.23 h","2.71 h","2.85 h","2.63 h","0.04 h","1.14 h","0.36 h","0.73 h","2.02 h"
"2020/3/1","2020/3/31","102.76 h","31.69 h","14.26 h","7.55 h","17.83 h","16.96 h","24.06 h","10.84 h","1.44 h","1.53 h","3.15 h","2.90 h","4.91 h","3.17 h","2.24 h","5.72 h","0.12 h","0.00 h","3.39 h","1.53 h"
"2020/4/1","2020/4/30","43.53 h","21.82 h","10.47 h","5.26 h","11.89 h","9.62 h","16.89 h","6.82 h","3.81 h","0.92 h","0.53 h","0.16 h","0.32 h","0.33 h","0.86 h","0.42 h","4.27 h","0.00 h","0.51 h","0.34 h"
"2020/5/1","2020/5/3","0.00 h","0.00 h","0.00 h","0.00 h","0.00 h","0.00 h","0.00 h","0.00 h","0.00 h","0.00 h","0.00 h","0.00 h","0.00 h","0.00 h","0.00 h","0.00 h","0.00 h","0.00 h","0.00 h","0.00 h"
"","合计","231.76 h","123.37 h","78.05 h","51.64 h","48.75 h","47.43 h","45.30 h","30.15 h","22.73 h","15.61 h","14.52 h","12.34 h","8.25 h","7.78 h","7.42 h","6.18 h","5.74 h","5.52 h","5.20 h","3.94 h"
"","平均值","57.94 h","30.84 h","19.51 h","12.91 h","12.19 h","11.86 h","11.33 h","10.05 h","5.68 h","3.90 h","3.63 h","3.08 h","2.06 h","1.95 h","1.85 h","2.06 h","1.43 h","2.76 h","1.30 h","0.99 h"
"","最小值","31.70 h","21.82 h","10.47 h","4.06 h","7.67 h","7.81 h","0.02 h","6.82 h","1.44 h","0.92 h","0.53 h","0.16 h","0.31 h","0.33 h","0.86 h","0.04 h","0.12 h","0.36 h","0.51 h","0.06 h"
"","最大值","102.76 h","40.60 h","26.68 h","34.77 h","17.83 h","16.96 h","24.06 h","12.49 h","15.40 h","11.21 h","10.11 h","6.05 h","4.91 h","3.17 h","2.63 h","5.72 h","4.27 h","5.15 h","3.39 h","2.02 h"
